Verkada Command Connector Hardware Compatibility List
Below is a list all non-Verkada cameras that are currently compatible with Command Connector. Please complete the form below if you'd like to request support for a camera not listed.
https://www.verkada.com/security-cameras/command-connector/hcl/#camerarequest

Manufacturer,Model Name,Minimum Firmware Supported,Notes
MITSUBISHI ELECTRIC,NC-9020,NC-9020-0109t,
MITSUBISHI ELECTRIC,NC-9620,NC-9620-0109t,
MITSUBISHI ELECTRIC,NC-9820,NC-9820-0109t,
March Networks,SE4 IR DOME O/D 2.7-12mm,1.0.7.20190724,
March Networks,VA4 Indoor IR Dome 2.8-8mm,1.1.5.20220401,
Milesight,MS-C5375-PD,51.7.0.77-r8,
Mobotix,D71,MX-V7.3.2.76,
Mobotix,MOVE-BC1A-4-IR,MX-V7.3.2.76,
Mobotix,MOVE-VD1A-4-IR,mb20190711RP,
Mobotix,MOVE-VD1A-4-IR-D,mb20190417RP,
Mobotix,Q26B-6D,MX-V7.3.2.76,
Mobotix,c26,MX-V5.1.0.99-r3,
Mobotix,c26B-AU-6D,MX-V5.2.6.2,
Mobotix,c71,MX-V7.3.4.23-r3,
Mobotix,i26B-AU-6D,MX-V5.2.4.15-r2,
Mobotix,p71,MX-V7.3.2.76,
Oncam Grandeye,C-08_Indoor,C-Series_2.1.5,
Oncam Grandeye,C-08_Outdoor,C-Series_2.1.5,
Oncam Grandeye,EVO-05LxD,1.9.12.358L,
OpenEye,C1012D2-1,IPC_G6107-B0002P86D1806C08NB,
OpenEye,C1012D2-S-1,IPC-B6202.5.37.C05546NB.220224,
OpenEye,C7032-WR,IPC_G6103-B0008P20D1711C15NB,
OpenEye,OE-C1012D2-1,IPC_G6107-B0002P86D1806C08NB,
OpenEye,OE-C1012D2-S,IPC-B6202.5.37.C05546NB.220224,
OpenEye,OE-C3012T4B-S,IPC-B6202.5.82.C055130.NB.230914,
OpenEye,OE-C3012T8-S-1,IPC-B6203.3.82.C055130.NB.230914,
OpenEye,OE-C7032-WR,IPC_G6103-B0013P10D1904C70,
OpenEye,OE-C7044-WR,IPC_G6102-B5016P10D1705C29,
OpenEye,OE-C97512,IPC_Q1203-B0009P10D1904C69,
Pelco,D6230,2.6.0.6.9340-A0.0,
Pelco,D6230L,2.13.7.1.9340-A0.0,
Pelco,IBP232-1ER,02.43.1.6.2357-20210706,
Pelco,IBV229-1ER,01.0.0.4,
Pelco,IBV529-1ER,01.0.0.4,
Pelco,IJP121-1IS,01.16.30-20170910,
Pelco,IJP121-1IS-T71201961,01.16.30-20170910,
Pelco,IJP121-1IS-T71201964,01.16.30-20170910,
Pelco,IJP121-1IS-T71201968,01.16.30-20170910,
Pelco,IJP121-1IS-T71201969,01.16.30-20170910,
Pelco,IJP121-1IS-T71201970,01.16.30-20170910,
Pelco,IJP121-1IS-T71402247,01.16.30-20170910,
Pelco,IJP121-1IS-T71600375,01.16.30-20170910,
Pelco,IJP121-1IS-T72304452,01.16.30-20170910,
Pelco,IJV223-1ERS,01.0.0.4,
Pelco,IME229,06.4.0.4,
Pelco,IME238-1ERS,3.9.1.6.9600-A0.0,
Pelco,IME238-1ERS-TSCD61001823,3.9.1.6.9600-A0.0,
Pelco,IME238-1IRS,3.9.1.6.9600-A0.0,
Pelco,IME238-1IRS-TSCCB1025157,3.9.1.6.9600-A0.0,
Pelco,IME3122,2.0.1.0.8280-A0.0,
Pelco,IME3122-ADSVN95,2.0.1.0.8280-A0.0,
Pelco,IME329,06.4.1.7,
Pelco,IME332-1IRS,3.8.0.13.9600-A0.0,
Pelco,IME338-1ERS,3.10.1.2.9600-A0.0,
Pelco,IMF82-1ES,4.80.0.16(835f547f),
Pelco,IMM12018,2.13.1.3.8360-A0.0,
Pelco,IMM12027,2.13.1.3.8360-A0.0,
Pelco,IMM12027-E-BASE-TN290150,2.13.7.1.8360-A0.0,
Pelco,IMM12036,2.13.7.1.8360-A0.0,
Pelco,IMP1110-1,03.29.59-20160303,
Pelco,IMP121-1ES,01.16.30-20170910,
Pelco,IMP121-1ES-T71300985,01.16.30-20170910,
Pelco,IMP121-1ES-T71300986,01.16.30-20170910,
Pelco,IMP121-1ES-T71300988,01.16.30-20170910,
Pelco,IMP121-1ES-T71300989,01.16.30-20170910,
Pelco,IMP221-1ES,01.16.42-20180911,
Pelco,IMP221-1ES-T82508910,01.16.42-20180911,
Pelco,IMP221-1IS,01.16.30-20170911,
Pelco,IMP221-1RS,01.16.29-20170621,
Pelco,IMP221-1RS-T71308915,01.16.30-20170910,
Pelco,IMP831,2.13.2.4.9091-A0.0,
Pelco,IMP831-1ERS-TSBJ21000586,2.13.2.4.9091-A0.0,
Pelco,IMP831-1RS-TSBJ21000614,2.13.2.4.9091-A0.0,
Pelco,IMP831-1RS-TSBJ21000688,2.13.2.4.9091-A0.0,
Pelco,P2230L-ESR,05.30.1.10-20230308,
Pelco,SRXE4-4V9-EMD-IR1,4.80.0.22(0c5a7909),
Provision ISR,DI-340IPSN-28-V2,,
REVO,RUCB2810-1X,GIPC-B6202.8.5.C01408.NB.221111,
REVO,RULCB28-3,DIPC-B1222.6.6.C01406.230921,
ReoLink,RLC-520A,v3.1.0.801_22010701,
Siqura,FD1004M1-EI,V1.0.0 build 170524,
Sony,SNC-CH110,1.88.00,
Sony,SNC-CH160,1.88.00,
Sony,SNC-DH120,1.88.00,
Sony,SNC-DH140T,1.88.00,
Sony,SNC-DH160,1.87.00,
Sony,SNC-DH180,1.88.00,
Sony,SNC-EB602R,3.2.0,
Sony,SNC-EB632R,3.1.1,
Sony,SNC-EM600,2.4.0,
Sony,SNC-EM602R,2.6.1,
Sony,SNC-EM630,3.1.1,
Sony,SNC-EM631,2.8.0,
Sony,SNC-EM632R,2.7.2,
Sony,SNC-HM662,1.2.0,
Sony,SNC-VM602R,2.5.0,
Sony,SNC-VM631,3.1.1,
Sony,SNC-WR602,2.8.0,
Sony,SNC-XM631,2.6.6,
Sony,SRG-XB25,1.24,
Speco,O2D5M,1.1.3,
Speco,O2MD2,5.1,
Speco,O2iD4M,5.1,
Speco,O4VT2G,5.1,
Speco,O8D2M,2.460.0001.13.R - Build Date 2017-09-14,
Spot AI, Inc.,HW-CAM-81B,,
Spot AI, Inc.,HW-CAM-81D,,
SureVision,SV-BV5,IPC_D1202-B0007P79D1904,
Synology Incorporated,BC500,1.1.3,
Synology Incorporated,TC500,1.1.3,
TKK,NOC-IR21T,75100.1.0063.100,
TruVision,TVC-M5225E-3M-N,V5.0.s,
TruVision,TVGP-M01-0401-TUR-W,V21.1,
Turing Video,TP-MBAD8M28,IPC_G6203-B0001P98D1911C162,
Turing Video,TP-MED4M28,GIPC-B6202.5.16.C05663.NB.210927,
Turing Video,TP-MFD5A28,GIPC-B6202.3.71.C056162.210720,
Turing-U,TP-MFM4M28,GIPC-B6202.12.5.C05697.NB.240312,
Tyco Security Products,Flex2-T10A183800000412,Illustra.SS004.01.05.02.0773,
Tyco Security Products,Flex3-H12214800040380,SS008.03.00.00.0301,
Tyco Security Products,Flex4-T10A220900002025,SS018.05.04.01.0003,
Tyco Security Products,Flex4-T10A224100002501,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224100002537,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000076,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000266,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000267,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000268,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000269,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000270,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000271,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000272,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000275,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000276,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000280,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000281,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000282,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000283,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000284,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000286,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000287,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000288,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000289,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000291,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000294,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000295,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000296,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Flex4-T10A224900000315,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Illustra  Flex2  Indoor  Mini-dome,Illustra.SS004.01.05.02.0773,
Tyco Security Products,Illustra Essentials4 2MP Dome,Illustra.01.02.10.5982,
Tyco Security Products,Illustra Flex3 3MP Dome In,SS018.05.04.01.0003,
Tyco Security Products,Illustra Flex4 2MP Dome Out,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Illustra Flex4 4k Dome In,Illustra.SS018.05.04.03.0002,
Tyco Security Products,Illustra Pro4 4MP Dome Out,Illustra.SS016.24.09.01.0004,
Tyco Security Products,JF,Illustra.SS016.24.09.01.0004,
USAVision,UA-R500F2,V102_2023_01_30,
Ubiquity Unifi,G3 Bullet,4.30.0,RTSP support only
Ubiquity Unifi,G3 Dome,4.51.4,
Ubiquity Unifi,G3 Flex,4.73.71,RTSP support only
Ubiquity Unifi,G3 Micro,4.23.8,
Ubiquity Unifi,G5 Bullet,4.74.106,RTSP support only
Ubiquity Unifi,G5 Turret Ultra,4.74.106,RTSP support only
Uniview,IPC324SR3-DVPF28-F,IPC_G6107-B0001P91D1806,
Uniview,IPC3534SR3-ADZK-G,GIPC-B6202.5.16.210809,
Uniview,IPC354SR3-ADNPF28-F,IPC_G6107-B0001P97D1806,
Uniview,IPC3614SR3-ADF28KM-G,GIPC-B6202.9.5.221122,
Uniview,IPC3615SR3-ADPF28-F,GIPC-B6202.9.5.221122,
Uniview,IPC672LR-AX4DUPKC,GIPC-B6203.11.5.LJ01.230830,
Uniview,IPC815SB-ADF14K-I0,GIPC-B6203.11.5.LJ01.230830,
Uniview,IPFE5360X,IPC_G6107-B0001P97D1806,
Uniview,IPT528AIX,IPC_G6107-B0001P97D1806,
Uniview,IPV4212M,IPC_Q1201-B5021P20D1708,
VITEK,VTD-TND3RFE-2,4.1,
Vicon Industries Inc.,V2002D-PTZ,01.02.1.13.4709,
Vicon Industries Inc.,V2002D-PTZ-S22500138,01.02.1.13.6387,
Vicon Industries Inc.,V2005D-W313MIR,01.00.0.8.6511,
Vicon Industries Inc.,V2005D-W313MIR-S31200791,01.00.1.8.5839,
Vicon Industries Inc.,V2005D-W313MIR-S31200793,01.00.1.8.5839,
Vicon Industries Inc.,V2005D-W313MIR-S31200794,01.00.0.8.6511,
Vicon Industries Inc.,V2005D-W313MIR-S31200795,01.00.1.8.5839,
Vicon Industries Inc.,V2105D-W313MIR,01.00.0.11.5001,
Vicon Industries Inc.,V2105D-W313MIR-S22102233,01.00.0.11.5001,
Vicon Industries Inc.,V2360W-12-1,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-41302112,01.00.0.10.6513,
Vicon Industries Inc.,V2360W-12-1-S22602960,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S22602963,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S22602964,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300051,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300053,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300054,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300055,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300056,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300057,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300058,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300059,01.00.0.10.5345,
Vivotek,CC8370-HV,100,
Vivotek,CC9381-HV,2.2002.13.01,
Vivotek,FD8166,FD8166-VVTK-0102a,
Vivotek,FD8169A,213,
Vivotek,FD8367-TV,FD8367TV-VVTK-0100,
Vivotek,FD8382-EVF2,100,
Vivotek,FD9189-H,113,
Vivotek,FD9360-H,223,
Vivotek,FD9380-H,223,
Vivotek,FD9388-HTV,2.2002.13.01,
Vivotek,FE8180,200,
Vivotek,FE8181,200,
Vivotek,FE9180-H,109,
Vivotek,IB9388-HT,223,
Vivotek,IT9360-H,223,
Vivotek,MA9322-EHTVL,100,
Vivotek,MD8562,MD8562-VVTK-0201,
Vivotek,MS9390-HV,121,
Vivotek,SD8364E,SD8364-VVTK-0200,
Vivotek,SD9361-EHL,103,
Vivotek,SD9362-EH-v2,104,
Vivotek,VIVOTEK,200,
Vivotek,VIVOTEK FD9360-H,223,
Vivotek,VIVOTEK IB9369,1.2101.41.01,
Vivotek,VIVOTEK MA9322-EHTVL,100,
Vivotek,networkcamera,IP8162-VVTK-0200,
W Box Technologies,0E-13DF28,V5.3.0 build 160316,
W Box Technologies,0E-13DVF2812,V5.2.0 build 150416,
W Box Technologies,0E-21BVF2812,V5.3.0 build 160316,
W Box Technologies,0E-31BF40,V5.3.0 build 160329,
W Box Technologies,0E-31DF28,V5.3.0 build 160316,
i-PRO/Panasonic,I81HC,V5.5.114 build 200904,
i-PRO/Panasonic,NC-9520,1,
i-PRO/Panasonic,WV-NW502S,2.44,
i-PRO/Panasonic,WV-S1531LT,4.7,
i-PRO/Panasonic,WV-S1536LT,2,
i-PRO/Panasonic,WV-S1570L,1,
i-PRO/Panasonic,WV-S2111L,4.8,
i-PRO/Panasonic,WV-S2131L,4.8,
i-PRO/Panasonic,WV-S2135,2.6,
i-PRO/Panasonic,WV-S2136L,2,
i-PRO/Panasonic,WV-S2231L,4.8,
i-PRO/Panasonic,WV-S22500-F3L,2.6,
i-PRO/Panasonic,WV-S2270L,4.8,
i-PRO/Panasonic,WV-S2272L,1.6,
i-PRO/Panasonic,WV-S2531L,5,
i-PRO/Panasonic,WV-S2531LT,4.31,
i-PRO/Panasonic,WV-S2536L,2.3,
i-PRO/Panasonic,WV-S2536LA,4.8,
i-PRO/Panasonic,WV-S2536LT,2.3,
i-PRO/Panasonic,WV-S25700-V2L,2.33,
i-PRO/Panasonic,WV-S3131L,4.11,
i-PRO/Panasonic,WV-S3531L,4.31,
i-PRO/Panasonic,WV-S4151,4.8,
i-PRO/Panasonic,WV-S4550L,4.8,
i-PRO/Panasonic,WV-S4576LA,4.8,
i-PRO/Panasonic,WV-S66300-Z4L,4.8,
i-PRO/Panasonic,WV-S8530,4.8,
i-PRO/Panasonic,WV-S8543L,2.6,
i-PRO/Panasonic,WV-S8544L,2.33,
i-PRO/Panasonic,WV-SF138,2.43,
i-PRO/Panasonic,WV-SF336,2,
i-PRO/Panasonic,WV-SF438,2.43,
i-PRO/Panasonic,WV-SW155,4.8,
i-PRO/Panasonic,WV-SW158,2.48,
i-PRO/Panasonic,WV-SW355,4.8,
i-PRO/Panasonic,WV-U1532LA,2.5,
i-PRO/Panasonic,WV-U2140LA,2.5,
i-PRO/Panasonic,WV-U2142LA,2.4,
i-PRO/Panasonic,WV-U2530LA,2.5,
i-PRO/Panasonic,WV-U2532LA,2.26,
i-PRO/Panasonic,WV-U2540LA,2.5,
i-PRO/Panasonic,WV-X1551L,1.5,
i-PRO/Panasonic,WV-X2251L,1.5,
i-PRO/Panasonic,WV-X2571L,1.5,
i-PRO/Panasonic,WV-X4170,4.3,
i-PRO/Panasonic,WV-X4173,2.01,
i-PRO/Panasonic,i-PRO_WV-S2135,2.6,
i-PRO/Panasonic,i-PRO_WV-X4573L,2,
